gender,n_unweighted,odds_ratio,ci_lower,ci_upper,p_value
Female,1007,1.973380273949759,1.2127794643862952,3.21099574982054,0.006207233203568866
Male,1074,4.874680970823844,2.8628480225615767,8.300305982030517,5.43492050873376e-09
